Temperature in units of degree,Pressured in units of Gpa
1188.95971,0.28502
1139.70286,0.34138
1074.31003,0.45411
1036.09347,0.51852
1018.25908,0.67955
1007.21879,0.88084
999.57548,1.25926
1002.97245,1.66184
999.57548,1.42029
1003.82166,1.85507
1004.67102,2.04831
1006.36943,2.20129
1007.21879,2.32206
1007.21879,2.55556
1009.76656,2.82126
1010.61576,3.0306
1012.31433,3.27214
1013.16353,3.41707
1013.16353,3.66667
1016.56051,3.86795
1016.56051,4.06119
1017.40987,4.26248
1019.10828,4.54428
1022.50541,4.76167
1020.80685,5.01127
1020.80685,5.20451
1025.90239,5.42995
1027.60095,5.7037
1025.05318,5.96135
1024.20382,6.15459
1025.90239,6.47665
1025.90239,6.72625
1025.05318,6.91948
1026.75159,7.14493
1028.45016,7.36232
1028.45016,7.57166
1027.60095,7.75684
1025.90239,7.96618
1025.90239,8.19163
1025.90239,8.38486
1026.75159,8.60225
1026.75159,8.77939
1025.90239,8.99678
1024.20382,9.19002
1026.75159,9.35105
1024.20382,9.53623
1024.20382,9.73752
1024.20382,9.93881
1023.35462,10.14815
1024.20382,10.31723
1024.20382,10.50242
1025.05318,10.72786
1020.80685,10.98551
1024.20382,11.17874
