Depth,T
12.34,1596.36
45.05,1613.05
76.29,1631.26
109.01,1650.99
140.24,1669.2
158.48,1679.34
184.01,1692.24
199.47,1699.89
220.55,1708.65
253.26,1723.82
287.47,1737.48
321.67,1749.62
355.87,1763.28
388.58,1775.42
401.11,1780.67
408.64,1838.98
416.88,1842.19
449.6,1855.84
461.11,1863.36
483.8,1867.98
501.62,1873.63
512.63,1877.22
521.53,1881.04
528.44,1922.61
556.7,1940.82
590.9,1954.48
625.1,1969.65
640.3,1973.53
654.12,1979.74
664.42,1985.48
677.13,1962.06
711.33,1971.17
744.04,1986.34
778.25,2001.52
809.48,2018.21
843.68,2031.87
876.4,2047.04
909.12,2063.73
943.32,2074.36
976.03,2091.05
1008.75,2107.74
1041.47,2119.88
1075.67,2132.02
1109.87,2144.16
1144.07,2157.81
1176.79,2172.99
1210.99,2186.65
1243.71,2198.79
1277.91,2212.44
1312.11,2221.55
1344.82,2235.2
1379.02,2245.83
1411.74,2259.48
1445.94,2268.59
1473.08,2276.08
1494.86,2284.21
1514.34,2291.35
1548.54,2305.01
1582.74,2312.59
1616.94,2326.25
1651.14,2338.39
1683.86,2350.53
1716.57,2362.67
1750.77,2373.29
1769.8,2378.37
1789.7,2385.54
1810.31,2390.79
1829.05,2395.33
1841.22,2397.72
1857.83,2402.12
1890.54,2411.23
1926.23,2421.85
1960.43,2433.99
1996.12,2444.61
2028.83,2453.72
2063.03,2464.34
2098.72,2474.96
2134.4,2482.55
2168.6,2494.69
2204.29,2502.28
2239.97,2511.38
2272.69,2522
2308.37,2529.59
2342.57,2540.21
2376.77,2549.32
2412.46,2558.42
2446.66,2569.04
2482.34,2575.11
2518.03,2587.25
2552.22,2593.32
2586.43,2603.95
2620.62,2610.02
2654.82,2620.64
2689.02,2628.22
